keys,en,zh,cmn,ja,ko,es,ru
FOOD_0,Fresh Soil,新鮮泥土,新鲜泥土,新鮮な土,신선한 흙,Tierra fresca,Свежая земля
FOOD_1,Strawberry Cake,草莓蛋糕,草莓蛋糕,いちごケーキ,딸기 케이크,Pastel de fresa,Клубничный торт
FOOD_2,Power Greens,大力菜,大力菜,パワー野菜,힘센 채소,Vegetal poderoso,Сильный овощ
FOOD_3,Pig Brain,豬腦,猪脑,豚の脳,돼지 뇌,Cerebro de cerdo,Свиные мозги
FOOD_4,Fortune Cookie,幸運餅乾,幸运饼干,フォーチュンクッキー,포춘 쿠키,Galleta de la suerte,Печенье с предсказанием
FOOD_5,Foie Gras,鵝肝,鹅肝,フォアグラ,거위 간,Foie gras,Фуа-гра
FOOD_6,Duck Blood,鴨血,鸭血,アヒルの血,오리 피,Sangre de pato,Утиная кровь
FOOD_7,Coffee,咖啡,咖啡,コーヒー,커피,Café,Кофе
COURSE_0,Feng Shui Secrets,風水秘籍,风水秘籍,風水秘訣,풍수 비결,Secretos del feng shui,Секреты фэн-шуй
COURSE_1,Knife Mastery,刀具使用大法,刀具使用大法,ナイフ使いの極意,칼 사용 비법,Técnicas de uso de cuchillos,Мастерство обращения с ножом
COURSE_2,Meditation Training,冥想訓練,冥想训练,瞑想訓練,명상 훈련,Entrenamiento de meditación,Тренировка медитации
COURSE_3,Seeing Through the Essence of the Universe,看穿宇宙本質,看穿宇宙本质,宇宙の本質を見抜く,우주의 본질 꿰뚫기,Ver la esencia del universo,Постижение сущности вселенной
COURSE_4,Basic Fitness Training,基礎體能訓練,基础体能训练,基礎体力トレーニング,기초 체력 훈련,Entrenamiento físico básico,Базовая физическая подготовка
COURSE_5,"Fall, Mortal!",墮落吧凡人！,堕落吧凡人！,堕ちろ、凡人！,"타락하라, 범인!","¡Cae, mortal!","Пади, смертный!"
INTRO_0,"Hey, Ellie! I’ve got some good news for you!",喂艾莉！告訴你個好消息！,喂艾莉！告诉你个好消息！,ねえエリー！いいニュースがあるよ！,야 엘리! 좋은 소식 알려줄게!,"¡Oye, Ellie! ¡Te tengo buenas noticias!","Эй, Элли! У меня хорошие новости!"
INTRO_1,What’s up?,怎麼了？,怎么了？,どうしたの？,무슨 일이야?,¿Qué pasa?,Что случилось?
INTRO_2,I’m going to Natural Selection University next month!,我下個月就要去自然選擇大學上學了！,我下个月就要去自然选择大学上学了！,来月、自然選択大学に通うんだ！,다음 달부터 자연 선택 대학교에 다닐 거야!,¡El próximo mes voy a estudiar en la Universidad de Selección Natural!,В следующем месяце я поступаю в Университет естественного отбора!
INTRO_3,What? You got accepted into Natural Selection University?,什麼？你被自然選擇大學錄取了？,什么？你被自然选择大学录取了？,え？自然選択大学に合格したの？,뭐? 자연 선택 대학교에 합격했어?,¿Qué? ¿Fuiste aceptada en la Universidad de Selección Natural?,Что? Тебя приняли в Университет естественного отбора?
INTRO_4,"Surprising, right?",意想不到吧！,意想不到吧！,意外でしょ！,놀랍지!,"¡Inesperado, verdad!","Неожиданно, правда!"
INTRO_5,"Wow! That’s amazing, Serena! You got into such a tough school!",哇！厲害了我的塞雷娜！這麼難考的大學都被你考到了！,哇！厉害了我的塞雷娜！这么难考的大学都被你考到,わあ！すごいよセレナ！こんな難関大学に受かるなんて！,와! 대단해 내 세레나! 이렇게 어려운 대학에 붙다니!,"¡Wow! ¡Impresionante, mi Serena! ¡Lograste entrar a una universidad tan difícil!","Вау! Круто, моя Серена! Такой сложный университет, а ты поступила!"
INTRO_6,Hehe! But I’m so nervous! They say only 1% of students graduate from there.,嘻嘻！不過我好緊張啊！據說這間大學只有1%的人能畢業。,嘻嘻！不过我好紧张啊！据说这间大学只有1%的人能毕业,へへ！でもめっちゃ緊張してる。この大学、卒業できるのは1%だけだって。,헤헤! 근데 엄청 긴장돼. 이 대학은 1%만 졸업할 수 있다던데.,¡Jeje! ¡Pero estoy muy nerviosa! Dicen que solo el 1% se gradúa de esta universidad.,"Хи-хи! Но я так волнуюсь! Говорят, только 1% выпускников заканчивают этот университет."
INTRO_7,1%?! Did I hear that right?,1%？！我沒聽錯吧！,1%？！我没听错吧！,1%？！聞き間違えたんじゃないよね！,1%?! 내가 잘못 들은 거 아니지?,"¿1%? ¡No escuché mal, verdad!","1%?! Я не ослышалась, да?"
INTRO_8,Yep! You heard me right! Just 1%!,是的！你沒聽錯！就是1%！,是的！你没听错！就是1%！,うん！聞き間違いじゃないよ！1%だよ！,응! 잘못 들은 거 아니야! 1%야!,¡Sí! ¡No escuchaste mal! ¡Es el 1%!,Да! Ты не ослышалась! Именно 1%!
INTRO_9,They say 99% of students either repeat the year or drop out.,據說99%的學生要麼繼續留級，要麼就退學了。,据说99%的学生要么继续留级，要么就退学了,99%の学生は留年するか退学するらしいよ。,99%의 학생은 유급하거나 자퇴한대.,Dicen que el 99% de los estudiantes repiten o abandonan.,"Говорят, 99% студентов либо остаются на второй год, либо бросают учебу."
INTRO_10,But that 1% who make it through end up becoming incredible people. Several graduates are on the global rich list.,不過剩下的1%畢業之後都成為了非常厲害的人物。全球富豪排行榜裡有好幾位都是自然選擇大學的畢業生。,不过剩下的1%毕业后都成为了非常厉害的人物。全球富豪排行榜里有好几位都是自然选择大学的毕业生,でも残りの1%は卒業したらすごい人になるんだって。世界の富豪ランキングにも自然選択大学の卒業生が何人もいるよ。,하지만 남은 1%는 졸업 후 엄청난 인물이 된다더라. 세계 부자 순위에 자연 선택 대학교 졸업생이 몇 명이나 있어.,Pero ese 1% que se gradúa termina convirtiéndose en personas increíbles. Hay varios graduados de la Universidad de Selección Natural en la lista de los más ricos del mundo.,"Но тот 1%, что выпускается, становится невероятными людьми. В списке богатейших людей мира есть несколько выпускников Университета естественного отбора."
INTRO_11,"Well, when you get rich in six months, don’t forget to take care of me!",那半年後發財了記得關照我啊！,那半年后发财了记得关照我啊！,じゃあ半年後に金持ちになったら面倒見てね！,그럼 반년 뒤에 부자 되면 나 챙겨줘!,"¡Entonces, si te haces rica en seis meses, acuérdate de ayudarme!","Тогда через полгода, когда разбогатеешь, не забудь позаботиться обо мне!"
INTRO_12,Ha! I’m not even sure I’ll graduate!,哎！能不能畢業都說不準呢！,哎！能不能毕业都说不准呢！,あ！卒業できるかどうかもわからないよ！,아! 졸업할 수 있을지도 모르겠어!,¡Ay! ¡Ni siquiera sé si podré graduarme!,"Ай! Даже не знаю, смогу ли я вообще выпуститься!"
INTRO_13,I know you can do it!,我知道你一定能行的！,我知道你一定能行的！,絶対にできるって信じてるよ！,너라면 꼭 할 수 있을 거라고 믿어!,¡Sé que tú puedes hacerlo!,"Я знаю, что у тебя получится!"
INTRO_14,"Hey! I’m going to eat now, let’s talk later!",哎！我要吃飯了，之後再說吧！,哎！我要吃饭了，之后再说吧！,あ！ご飯食べるから、また後でね！,아! 밥 먹어야 해서 나중에 얘기해!,"¡Ay! Voy a comer, ¡hablamos después!","Ай! Я иду есть, поговорим позже!"
INTRO_15,Sure! I need to plan my schedule anyway.,嗯嗯！我也要編排行程了。,嗯嗯！我也要编排行程了,うんうん！私もスケジュール組まなきゃ。,응응! 나도 일정 짜야 해.,"¡Claro, claro! Yo también tengo que organizar mi itinerario.",Да-да! Мне тоже нужно составить расписание.
INTRO_16,There’s only this one school on Natural Selection Island. I have to fly to the U.S. and then take a boat arranged by the school to get there. I need to register for the boat.,自然選擇島上就只有這座學校，要坐飛機到美國再乘學校安排的船才能到達，我要去登記船了。,自然选择岛上就只有这座学校，要坐飞机到美国再乘学校安排的船才能到达，我要去登记船了,自然選択島にはこの学校しかないから、アメリカまで飛行機で行って、学校の手配した船に乗らなきゃ。船の登録に行ってくるよ。,자연 선택 섬에는 이 학교밖에 없어서 미국까지 비행기 타고 가서 학교에서 마련한 배를 타야 해. 배 등록하러 가야겠어.,"En la isla de Selección Natural solo está esta universidad, hay que tomar un avión a Estados Unidos y luego un barco organizado por la escuela para llegar. Voy a registrarme para el barco.","На острове естественного отбора только этот университет, нужно лететь в США, а потом плыть на корабле, организованном школой. Пойду регистрироваться на корабль."
INTRO_17,Wow! That’s so far! But it sounds pretty cool.,哇！這麼遠啊！不過好像很厲害的樣子。,哇！这么远啊！不过好像很厉害的样子,わあ！そんな遠くまで！でもすごそうね。,와! 그렇게 멀어! 근데 엄청 대단해 보인다.,¡Wow! ¡Tan lejos! Pero suena increíble.,Вау! Так далеко! Но звучит круто.
INTRO_18,Right? I’ll talk to you later then!,是吧！不跟你說了，下次再說吧！,是吧！不跟你说了，下次再说吧！,でしょ！じゃあまたね、次に話そう！,그치! 그럼 나중에 얘기해!,"¡Verdad! ¡No te digo más, hablamos luego!","Правда! Больше не говорю, до следующего раза!"
INTRO_19,Yep! Bye-bye!,嗯嗯！拜拜！,嗯嗯！拜拜！,うんうん！バイバイ！,응응! 바이바이!,"¡Claro, claro! ¡Adiós!",Да-да! Пока!
CEREMONY_0,Opening Ceremony,開學典禮,开学典礼,入学式,개학식,Ceremonia de inicio,Церемония открытия
CEREMONY_1,"Dear new students and repeaters, welcome to Natural Selection University!",各位新生以及留級生，歡迎來到自然選擇大學！,各位新生以及留级生，欢迎来到自然选择大学！,新入生と留年生の皆さん、自然選択大学へようこそ！,"신입생 및 유급생 여러분, 자연 선택 대학교에 오신 것을 환영합니다!","¡Bienvenidos, nuevos estudiantes y repetidores, a la Universidad de Selección Natural!","Добро пожаловать, новички и повторяющие курс, в Университет естественного отбора!"
CEREMONY_2,"Natural Selection University is not your average institution. There are no traditional classrooms, no fixed rules, not even so-called ""standard answers."" Our only principle is—survival and victory.",自然選擇大學不是一所普通的學府，這裡沒有傳統的課堂，沒有固定的規則，甚至沒有所謂的「標準答案」。我們唯一的宗旨是——生存與勝利。,自然选择大学不是一所普通的学府，这里没有传统的课堂，没有固定的规则，甚至没有所谓的「标准答案」。我们唯一的宗旨是——生存与胜利。,自然選択大学は普通の学校ではありません。ここには伝統的な授業も固定のルールも、いわゆる「正解」さえありません。私たちの唯一の理念は——生存と勝利です。,"자연 선택 대학교는 평범한 학교가 아닙니다. 여기엔 전통적인 수업도, 정해진 규칙도, 소위 ""정답""도 없습니다. 우리의 유일한 목표는——생존과 승리입니다.","La Universidad de Selección Natural no es una institución común. Aquí no hay clases tradicionales, ni reglas fijas, ni siquiera ""respuestas correctas"". Nuestro único lema es: supervivencia y victoria.","Университет естественного отбора — не обычное учебное заведение. Здесь нет традиционных занятий, фиксированных правил и даже так называемых «правильных ответов». Наш единственный принцип — выживание и победа."
CEREMONY_3,"Here, you have one goal: complete a thesis within 100 days. This thesis can be on any topic and can be completed by any means.",在這裡，你們的目標只有一個：在100天內完成一篇論文。這篇論文可以是任何主題，可以用任何方法完成。,在这里，你们的目标只有一个：在100天内完成一篇论文。这篇论文可以是任何主题，可以用任何方法完成。,ここでの皆さんの目標はただ一つ、100日以内に論文を完成させることです。この論文はどんなテーマでも、どんな方法で完成させても構いません。,"여기서 여러분의 목표는 단 하나, 100일 안에 논문을 완성하는 겁니다. 이 논문은 어떤 주제든, 어떤 방법으로든 완성할 수 있습니다.","Aquí, su único objetivo es completar una tesis en 100 días. Esta tesis puede ser sobre cualquier tema y completarse por cualquier medio.","Здесь у вас одна цель: за 100 дней написать диссертацию. Тема диссертации может быть любой, и завершать её можно любыми способами."
CEREMONY_4,"Yes, any means. There are no laws on Natural Selection Island, and the only rule at this university is that you cannot contact the outside world. We won’t interfere with your methods; we only care about results.",是的，是任何方法。自然選擇島上並沒有任何法律，自然選擇大學的唯一校規，就是你們不得與外界聯絡。我們不會干涉你們的手段，我們只在乎結果。,是的，是任何方法。自然选择岛上并没有任何法律，自然选择大学的唯一校规，就是你们不得与外界联络。我们不会干涉你们的手段，我们只在乎结果。,そうです、どんな方法でもです。自然選択島には法律がなく、自然選択大学の唯一の校則は外部との連絡を禁じることだけです。私たちは皆さんの手段には干渉せず、結果だけを重視します。,"맞습니다, 어떤 방법이든지입니다. 자연 선택 섬에는 법이 없고, 자연 선택 대학교의 유일한 교칙은 외부와의 연락 금지뿐입니다. 우리는 여러분의 수단에 간섭하지 않고 결과만 봅니다.","Sí, cualquier medio. En la isla de Selección Natural no hay leyes, y la única regla de la universidad es que no pueden contactar al exterior. No interferimos en sus métodos, solo nos importa el resultado.","Да, любыми способами. На острове естественного отбора нет законов, а единственное правило университета — запрет на связь с внешним миром. Мы не вмешиваемся в ваши методы, нас интересует только результат."
CEREMONY_5,No contact?! Can I still call Ellie?,不能聯絡？！我還能跟艾莉打電話嗎？,不能联络？！我还能跟艾莉打电话吗？,連絡できない？！エリーと電話できるかな？,연락 못 한다고?! 엘리랑 전화할 수 있나?,¿No contactar? ¿Podré hablar con Ellie por teléfono?,Без связи?! Смогу ли я позвонить Элли?
CEREMONY_6,"In the past, 99% of students failed this challenge—they either repeated or dropped out. But the 1% who succeeded became world-changers.",過去，99%的學生未能完成這項挑戰，他們要麼留級，要麼退學。但剩下的1%，他們成為了改變世界的人。,过去，99%的学生未能完成这项挑战，他们要么留级，要么退学。但剩下的1%，他们成为了改变世界的人。,過去、99%の学生がこの挑戦を達成できませんでした。彼らは留年するか退学しました。しかし残りの1%は、世界を変える人物となりました。,과거 99%의 학생이 이 도전을 완수하지 못했습니다. 그들은 유급하거나 자퇴했죠. 하지만 남은 1%는 세상을 바꾼 인물이 됐습니다.,"En el pasado, el 99% de los estudiantes no logró completar este desafío. Repitieron o abandonaron. Pero el 1% restante se convirtió en personas que cambiaron el mundo.","В прошлом 99% студентов не справились с этим испытанием. Они либо оставались на второй год, либо бросали учебу. Но оставшийся 1% становился людьми, изменившими мир."
CEREMONY_7,"In 100 days, there are only two outcomes: graduation or elimination. Your choices will determine your future.",100天後，只有兩種結果：畢業，或是淘汰。你們的選擇將決定你們的未來。,100天后，只有两种结果：毕业，或是淘汰。你们的选择将决定你们的未来。,100日後、結果は二つだけです：卒業するか、淘汰されるか。皆さんの選択が未来を決めます。,"100일 후, 결과는 두 가지뿐입니다: 졸업하거나 탈락하거나. 여러분의 선택이 미래를 결정합니다.","En 100 días, solo hay dos resultados: graduarse o ser eliminado. Sus elecciones determinarán su futuro.",Через 100 дней будет только два исхода: выпуск или отчисление. Ваш выбор определит ваше будущее.
CEREMONY_8,"Lastly, good luck to you all.",最後，祝你們好運。,最后，祝你们好运,最後に、皆さんに幸運を祈ります。,"마지막으로, 행운을 빕니다.","Por último, les deseo buena suerte.","И наконец, желаю вам удачи."
CEREMONY_9,That’s it?,這就完了？,这就完了？,これで終わり？,이게 끝이야?,¿Esto es todo?,Это всё?
CEREMONY_10,What do I do next?,我之後該幹什麼呢？,我之后该干什么呢？,これから何をしようか？,이제 뭐하지?,¿Qué hago ahora?,Что мне теперь делать?
HOSPITAL_0,Welcome to Natural Selection Hospital,歡迎來到自然選擇醫院,欢迎来到自然选择医院,自然選択病院へようこそ,자연 선택 병원에 오신 것을 환영합니다,Bienvenidos al Hospital de Selección Natural,Добро пожаловать в больницу естественного отбора
HOSPITAL_1,"Here, you can forget all your troubles",在這裡，你可以忘記任何煩惱，,在这里，你可以忘记任何烦恼,ここではあらゆる悩みを忘れ、,"여기선 모든 고민을 잊고,","Aquí puedes olvidar todas tus preocupaciones,",Здесь вы можете забыть о всех заботах
HOSPITAL_2,and relax as if you were one with nature.,就像置身於大自然那樣的放鬆。,就像置身于大自然那样的放松,自然の中にいるようなリラックスが得られます。,자연 속에 있는 듯한 편안함을 느낄 수 있습니다.,y relajarte como si estuvieras en la naturaleza.,"и расслабиться, как в объятиях природы."
HOSPITAL_3,May I ask what service you need?,請問，需要什麼服務嗎？,请问，需要什么服务吗？,何かサービスが必要ですか？,어떤 서비스가 필요하신가요?,¿En qué puedo ayudarte?,Чем могу помочь?
HOSPITAL_4,Buy a liver ($%s),買肝（$%s）,买肝（$%s）,肝を買う（$%s）,간 사기($%s),Comprar hígado ($%s),Купить печень ($%s)
HOSPITAL_5,Sell a liver ($%s),賣肝（$%s）,卖肝（$%s）,肝を売る（$%s）,간 팔기($%s),Vender hígado ($%s),Продать печень ($%s)
HOSPITAL_6,Blood transfusion ($%s),輸血（$%s）,输血（$%s）,輸血（$%s）,수혈($%s),Transfusión ($%s),Переливание крови ($%s)
HOSPITAL_7,Sell blood ($%s),賣血（$%s）,卖血（$%s）,血を売る（$%s）,혈액 팔기($%s),Vender sangre ($%s),Продать кровь ($%s)
HOSPITAL_8,No thanks.,不用了，謝謝。,不用了，谢谢,いいえ、ありがとう。,"아니요, 괜찮습니다.","No, gracias.","Нет, спасибо."
HOSPITAL_9,"Alright! This way, please~",好的！這邊請~,好的！这边请~,了解しました！こちらへどうぞ～,알겠습니다! 이쪽으로 오세요~,"¡Entendido! Por aquí, por favor~","Хорошо! Сюда, пожалуйста~"
HOSPITAL_10,Anything else you need?,還需要什麼嗎？,还需要什么吗？,他に何か必要ですか？,다른 도움 필요하신가요?,¿Necesitas algo más?,Что-то ещё нужно?
HOSPITAL_11,(Whispering) Ugh! We’re out of human blood. How about some chicken blood?,（小聲）哎！人血用光了，來點雞血吧！,（小声）哎！人血用光了，来点鸡血吧！,（小声）あ！人血がなくなったから、鶏血でいいよね！,"(작게) 아! 사람 피가 떨어졌네, 닭 피라도 줄까!","(Susurra) ¡Ay! Se nos acabó la sangre humana, ¿te sirve sangre de pollo?","(шёпотом) Ай! Человеческая кровь закончилась, возьмём куриную!"
HOSPITAL_12,Wishing you good health~,祝你身體健康哦~,祝你身体健康哦~,お体に気をつけてくださいね～,건강 조심하세요~,¡Que estés saludable~,Будьте здоровы~
RESTAURANT_0,What do you feel like eating?,想吃啥？,想吃啥？,何を食べたい？,뭐 먹고 싶어?,¿Qué quieres comer?,Что хочешь съесть?
RESTAURANT_1,"Nothing, thanks",不用了,不用了,いいえ,아니야,"No, gracias","Нет, спасибо"
RESTAURANT_2,Eat up and head out then.,吃完就走吧。,吃完就走吧,食べたら出よう。,먹고 가자.,Come y vámonos.,Поедим и уйдём.
RESTAURANT_3,Ha! I’m full!,哈！吃飽了！,哈！吃饱了！,は！お腹いっぱい！,하! 배부프다!,¡Ja! ¡Estoy lleno!,Ха! Наелся!
RESTAURANT_4,Ugh! What is this stuff? But at least I finished it.,噁！這是什麼東西啊？不過總算是吃完了。,噁！这什么东西啊？不过总算是吃完了,うっ！何これ？でもなんとか食べ終わった。,윽! 이게 뭐야? 그래도 다 먹었네.,¡Puaj! ¿Qué es esto? Pero al menos lo terminé.,Фу! Что это было? Но вроде доел.
RESTAURANT_5,Huh? Why do I feel…,欸？怎麼感覺...,欸？怎么感觉...,え？なんか変な感じ…,어? 뭔가 느낌이…,¿Eh? Me siento raro…,Э? Какое-то странное чувство…
RESTAURANT_6,"Wait, what just happened?",欸？剛剛發生什麼了？,欸？刚刚发生了什么？,え？今何が起きたの？,어? 방금 뭐였지?,¿Eh? ¿Qué pasó hace un momento?,Э? Что только что произошло?
RESTAURANT_7,Ah! My wallet’s gone!,啊！錢包不見了！,啊！钱包不见了,あ！財布がない！,아! 지갑이 없어졌어!,¡Ah! ¡Mi cartera desapareció!,Ах! Кошелёк пропал!
RESTAURANT_8,Release the rat.,放出老鼠。,放出老鼠,ネズミを放す。,쥐를 풀어.,Suelta la rata.,Выпустить крысу.
RESTAURANT_9,Time to dig in.,我要開動了。,我要开动了,いただきます。,잘 먹겠습니다.,Voy a comer.,Приступаю к еде.
RESTAURANT_10,Squeak squeak.,吱吱。,吱吱,チューチュー。,찍찍.,Chillido.,Пи-пи.
RESTAURANT_11,The rat’s dead.,老鼠死了。,老鼠死了,ネズミ死んだ。,쥐 죽었어.,La rata murió.,Крыса умерла.
RESTAURANT_12,The rat’s still alive.,老鼠還活著。,老鼠还活着,ネズミまだ生きてる。,쥐 아직 살아있어.,La rata sigue viva.,Крыса ещё жива.
RESTAURANT_13,Haha! Good thing I’m smart.,哈哈！幸虧我聰明。,哈哈！幸亏我聪明,はは！私が賢くてよかった。,하하! 내가 똑똑해서 다행이야.,¡Ja! Menos mal que soy listo.,"Ха-ха! Хорошо, что я умный."
RESTAURANT_14,I can eat it now!,可以吃了！,可以吃了！,食べられるよ！,먹을 수 있어!,¡Se puede comer!,Можно есть!
RESTAURANT_15,Want more?,還要吃嗎？,还要吃吗？,まだ食べる？,더 먹을까?,¿Quieres más?,Ещё поешь?
HOME_0,What should I do next?,做什麼好呢？,做什么好呢？,何しようか？,뭐 할까?,¿Qué hacemos?,Что делать?
HOME_1,Go out.,外出,外出,外出,외출,Salir,Выйти наружу
PAPER_0,Write the thesis.,寫論文,写论文,論文を書く,논문 쓰기,Escribir la tesis,Писать диссертацию
PAPER_1,Ha! Made some good progress today.,哈！今天進度還挺好。,哈！今天进度还挺不错,は！今日の進捗結構いいね。,하! 오늘 진도 꽤 괜찮네.,¡Ja! ¡Buen progreso hoy!,Ха! Сегодня хороший прогресс.
PAPER_2,Ugh! I’ve been writing for so long and still haven’t gotten anywhere.,哎！怎麼寫了這麼久都沒寫出什麼呢？,哎！怎么写了这么久都没写出什么呢？,あ！こんなに書いても全然進まないじゃん。,아! 이렇게 오래 썼는데 별로 안 됐네.,¡Ay! ¡Llevo tanto escribiendo y no sale nada!,"Ай! Так долго писал, а толку мало."
PAPER_3,Is it a lack of inspiration? Energy? Or something else?,是沒靈感？沒精神？還是什麼原因呢？,是没灵感？没精神？还是什么原因呢？,インスピレーションがない？疲れてる？それとも何か別の理由？,영감이 없나? 피곤한가? 아니면 다른 이유?,¿Sin inspiración? ¿Cansado? ¿O será otra cosa?,Нет вдохновения? Устал? Или что-то ещё?
SLEEP_0,Sleep.,睡覺,睡觉,寝る,자기,Dormir,Спать
SLEEP_1,Use sleeping pills.,使用安眠藥。,使用安眠药,睡眠薬を使う。,수면제 먹기.,Tomar pastillas para dormir.,Принять снотворное.
SLEEP_2,Sleep straight away.,直接睡。,直接睡,そのまま寝る。,그냥 자기.,Dormir directamente.,Спать сразу.
SLEEP_3,Ha! I feel refreshed!,哈！精神了！,哈！精神了！,は！元気になった！,하! 기운 났다!,¡Ja! ¡Estoy lleno de energía!,Ха! Полон сил!
SLEEP_4,Ugh! Why can’t I sleep?,哎！怎麼睡不著呢？,哎！怎么睡不着呢？,あ！眠れないじゃん。,아! 잠이 안 와.,¡Ay! ¡No puedo dormir!,Ай! Не могу уснуть!
SUPERMARKET_0,Need to buy anything?,需要買什麼呢？,需要买什么呢？,何か買う必要ある？,뭐 살 거 있어?,¿Necesitas comprar algo?,Что-то нужно купить?
SUPERMARKET_1,No thanks!,不用了謝謝！,不用了谢谢！,いいえ、ありがとう！,"아니요, 괜찮아요!","No, gracias.","Нет, спасибо!"
SUPERMARKET_2,Thank you for your patronage!,謝謝惠顧！,谢谢惠顾！,ご利用ありがとうございます！,이용해 주셔서 감사합니다!,¡Gracias por tu compra!,Спасибо за покупку!
SUPERMARKET_3,Come again!,記得再次光臨哦！,记得再次光临哦！,またお越しくださいね！,또 오세요!,¡Vuelve pronto!,Заходите ещё!
SUPERMARKET_4,Anything else you need?,還需要什麼嗎？,还需要什么吗？,他に何か必要ですか？,다른 도움 필요하세요?,¿Algo más que necesites?,Ещё что-то нужно?
LUCKY_DRAW_0,Hit or miss?,中不中呢？,中不中呢？,どうかな？,될까?,¿Funcionará?,Получится ли?
LUCKY_DRAW_1,Three,三,三,三,삼,Tres,Три
LUCKY_DRAW_2,Two,二,二,二,이,Dos,Два
LUCKY_DRAW_3,One,一,一,一,일,Uno,Один
LUCKY_DRAW_4,Oops!,哎呀！,哎呀！,あちゃ！,아야!,¡Ay!,Ай-яй!
LUCKY_DRAW_5,Not bad!,還不錯！,还不错！,まあまあだね！,괜찮네!,¡No está mal!,Неплохо!
LUCKY_DRAW_6,Awesome!,太好了！,太好了！,やった！,좋아!,¡Genial!,Отлично!
LECTURE_0,What class should I take today?,今天上什麼課好呢？,今天上什么课好呢？,今日は何の授業にしようか？,오늘 무슨 수업 들을까?,¿Qué clase tomo hoy?,Какой урок выбрать на сегодня?
LECTURE_1,Skip it.,不上了。,不上了,やめとく。,안 들을래.,No voy.,Не пойду.
LECTURE_2,"The professor was great today, learned a lot of useful stuff.",今天教授講得不錯，學到不少有用的知識。,今天教授讲得不错，学到不少有用的知识,今日の教授の講義よかった、役に立つ知識たくさん学んだ。,"오늘 교수 강의 좋았어, 유용한 지식 많이 배웠어.","La clase del profesor estuvo buena hoy, aprendí cosas útiles.","Сегодня лекция профессора была хорошей, узнал много полезного."
